,PLAYER_ID,MIN,FG_PCT,FG3_PCT,FTM,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,SEASON,ROOKIE,ALL_ROOKIE_TEAM_NUMBER
2,3,18.543166666666668,0.365775,0.0,1.025,0.34875,1.425,2.325,3.75,0.625,0.55,0.725,0.3,2.275,3.525,-0.1,1997-98,0.0,
2520,1086,5.24047619047619,0.4432857142857143,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.4285714285714285,0.4285714285714285,0.8571428571428571,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,3.857142857142857,-1.7142857142857142,1997-98,0.0,
2515,1080,5.96279761904762,0.2806428571428571,0.2702142857142857,0.75,0.2738214285714285,0.0714285714285714,0.4642857142857143,0.5357142857142857,0.1785714285714285,0.4285714285714285,0.0357142857142857,0.0357142857142857,0.8571428571428571,2.857142857142857,-0.2857142857142857,1997-98,0.0,
2512,1075,4.283333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-6.0,1997-98,1.0,
731,258,31.52122950819672,0.5141639344262295,0.0,2.80327868852459,0.597,3.2295081967213117,5.868852459016393,9.098360655737704,1.4098360655737705,1.8032786885245904,0.7213114754098361,0.7377049180327869,3.0163934426229506,12.081967213114757,1.7704918032786885,1997-98,0.0,
2507,1074,28.43,0.3862692307692308,0.3281538461538461,0.8333333333333334,0.3591282051282051,0.2051282051282051,1.6153846153846154,1.8205128205128205,2.8076923076923075,1.3717948717948718,0.7948717948717948,0.0641025641025641,1.2692307692307692,8.576923076923077,-0.935897435897436,1997-98,0.0,
2501,1073,21.29861111111111,0.4493846153846154,0.0,2.602564102564102,0.5126923076923077,1.7179487179487178,2.1923076923076925,3.91025641025641,0.9487179487179488,1.3076923076923077,0.5769230769230769,0.3846153846153846,2.576923076923077,8.012820512820513,-3.1538461538461537,1997-98,0.0,
741,262,15.200274261603376,0.2466202531645569,0.0,0.2531645569620253,0.120253164556962,1.4556962025316456,2.4430379746835444,3.8987341772151898,0.4050632911392405,0.2911392405063291,0.569620253164557,0.5569620253164557,1.3291139240506329,1.3417721518987342,0.9113924050632912,1997-98,0.0,
2489,1065,22.42044776119403,0.3224477611940298,0.2393134328358208,0.9701492537313432,0.3594477611940298,0.5223880597014925,1.8805970149253728,2.4029850746268657,2.492537313432836,1.582089552238806,0.835820895522388,0.1194029850746268,2.08955223880597,7.626865671641791,-3.343283582089552,1997-98,0.0,
744,265,13.7165641025641,0.2842615384615384,0.0153846153846153,0.2923076923076923,0.1217999999999999,0.9230769230769232,1.6615384615384616,2.5846153846153848,0.6,0.4,0.3538461538461538,0.2307692307692307,1.446153846153846,2.6153846153846154,-0.7692307692307693,1997-98,0.0,
747,270,36.89230263157895,0.4503421052631579,0.0,1.7763157894736843,0.547,3.0,5.131578947368421,8.131578947368421,2.263157894736842,1.1578947368421053,1.0657894736842106,1.0394736842105263,2.3684210526315788,12.11842105263158,-0.4473684210526316,1997-98,0.0,
2486,1063,9.803372093023254,0.3027674418604651,0.2039302325581395,0.3720930232558139,0.1899302325581395,0.2325581395348837,0.8604651162790697,1.0930232558139534,0.4418604651162791,0.4186046511627907,0.4883720930232558,0.1627906976744186,0.9069767441860463,3.441860465116279,-1.302325581395349,1997-98,0.0,
2483,1061,5.5911904761904765,0.4642857142857143,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,1.4285714285714286,0.1428571428571428,0.0,0.2857142857142857,0.0,1.4285714285714286,1.1428571428571428,2.142857142857143,1997-98,1.0,
2481,1055,4.3758333333333335,0.125,0.0,0.25,0.125,0.25,0.75,1.0,0.25,0.5,0.25,0.5,1.0,0.75,-4.25,1997-98,1.0,
755,271,29.4675,0.4241621621621622,0.2846891891891892,4.9324324324324325,0.7494189189189189,0.6756756756756757,1.2297297297297298,1.9054054054054053,1.864864864864865,1.9864864864864864,1.0405405405405406,0.3243243243243243,2.810810810810811,14.716216216216216,-6.5,1997-98,0.0,
2474,1051,32.08176829268292,0.4255853658536586,0.0,1.3902439024390243,0.4125487804878049,2.768292682926829,5.085365853658536,7.853658536585366,1.0975609756097562,1.024390243902439,0.6951219512195121,1.6219512195121952,2.402439024390244,7.292682926829267,-9.28048780487805,1997-98,0.0,
761,273,9.1332,0.2351,0.0,0.24,0.115,0.5,0.44,0.94,0.52,0.36,0.42,0.12,1.0,1.88,-3.18,1997-98,0.0,
764,275,34.74821138211382,0.4430243902439025,0.3414268292682927,3.475609756097561,0.7441951219512195,0.524390243902439,2.817073170731707,3.341463414634146,2.5853658536585367,2.4390243902439024,0.7682926829268293,0.2926829268292683,2.524390243902439,18.402439024390244,1.5731707317073171,1997-98,0.0,
2534,1089,5.456145833333333,0.03125,0.0,0.1875,0.09375,0.3125,0.9375,1.25,0.1875,0.3125,0.0,0.6875,0.75,0.3125,-1.125,1997-98,0.0,
2537,1096,8.859107142857143,0.3137857142857143,0.0357142857142857,0.6071428571428571,0.1714285714285714,0.8571428571428571,1.6071428571428572,2.4642857142857144,0.3214285714285714,0.6071428571428571,0.3571428571428571,0.1071428571428571,1.3571428571428572,2.071428571428572,-1.25,1997-98,0.0,
2539,1108,6.245864197530864,0.2203333333333333,0.0555555555555555,1.148148148148148,0.4629629629629629,0.5925925925925926,0.5925925925925926,1.1851851851851851,0.1851851851851851,0.3333333333333333,0.3703703703703703,0.1481481481481481,0.8518518518518519,2.4814814814814814,-0.6296296296296297,1997-98,1.0,
