,PLAYER_ID,MIN,FG_PCT,FG3_PCT,FTM,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,no_games_played
2385,2430.0,34.9167320261438,0.5037254901960783,0.0,3.6666666666666665,0.6455490196078432,2.764705882352941,6.196078431372549,8.96078431372549,2.823529411764706,2.6862745098039214,0.803921568627451,0.4705882352941176,3.5098039215686274,17.823529411764707,-1.9803921568627447,51.0
2386,2544.0,42.29960416666667,0.47305,0.3061125,5.9625,0.7401125000000001,1.3875,5.9625,7.35,7.2125,3.275,2.2125,0.65,1.825,27.1875,1.8875,80.0
2387,2546.0,34.79915555555556,0.4335333333333333,0.1968666666666666,6.08,0.7550266666666668,1.88,3.8,5.68,2.5866666666666664,2.986666666666667,0.9066666666666666,0.4,3.053333333333333,20.773333333333333,2.2133333333333334,75.0
2388,2547.0,37.20269547325103,0.4660123456790123,0.037037037037037,5.08641975308642,0.689283950617284,2.3950617283950617,6.469135802469136,8.864197530864198,1.8888888888888888,2.308641975308642,0.9382716049382716,1.3950617283950617,2.7901234567901234,16.80246913580247,-0.2469135802469135,81.0
2389,2548.0,38.66971861471861,0.4762337662337662,0.0909090909090909,7.545454545454546,0.7422597402597402,1.4285714285714286,3.727272727272727,5.155844155844156,6.753246753246753,4.1688311688311686,1.5714285714285714,1.0649350649350648,2.987012987012987,24.07792207792208,5.155844155844156,77.0
2390,2549.0,25.951507936507934,0.4827142857142857,0.0,1.2698412698412698,0.4028888888888889,2.142857142857143,4.571428571428571,6.714285714285714,1.1587301587301588,1.8253968253968251,0.4126984126984127,1.0793650793650793,2.888888888888889,9.07936507936508,-2.0476190476190474,63.0
2391,2550.0,36.33073593073594,0.3908571428571428,0.3345974025974026,2.220779220779221,0.5671558441558442,0.4155844155844156,3.5324675324675323,3.948051948051948,6.415584415584416,2.2857142857142856,1.5844155844155845,0.2727272727272727,3.168831168831169,15.662337662337665,-0.2467532467532467,77.0
2392,2553.0,28.939166666666665,0.3812962962962962,0.2689259259259259,1.8333333333333333,0.5374814814814814,0.7592592592592593,3.4444444444444446,4.203703703703703,1.6666666666666667,1.148148148148148,0.9074074074074074,0.1666666666666666,1.9814814814814812,10.24074074074074,-1.351851851851852,54.0
2393,2557.0,31.389634146341468,0.4028048780487805,0.3241585365853658,1.9390243902439024,0.5788780487804879,0.6707317073170732,1.8170731707317076,2.4878048780487805,5.890243902439025,1.8170731707317076,1.146341463414634,0.2804878048780488,2.256097560975609,10.048780487804878,-0.024390243902439,82.0
2394,2572.0,32.162938596491216,0.4690263157894737,0.2416447368421052,2.236842105263158,0.5560921052631579,2.223684210526316,4.144736842105263,6.368421052631579,1.4342105263157894,1.605263157894737,1.5263157894736843,0.6447368421052632,2.776315789473684,12.605263157894736,5.644736842105263,76.0
2395,2590.0,28.2695,0.4315125,0.215,1.7,0.4742375,0.625,2.425,3.05,6.05,2.45,0.925,0.1375,2.7625,10.175,-1.4375,80.0
2396,2594.0,32.52099593495935,0.4314878048780488,0.4314146341463414,1.0,0.4837560975609756,0.4878048780487805,4.134146341463414,4.621951219512195,2.2195121951219514,1.2926829268292683,1.2560975609756098,0.4024390243902439,3.231707317073171,11.48780487804878,0.5853658536585366,82.0
2397,2617.0,33.46939583333334,0.5540499999999999,0.0,2.225,0.6426125,2.9875,6.0875,9.075,1.35,1.4125,0.7875,0.5125,3.25,10.875,5.1875,80.0
2398,2693.0,26.068616352201257,0.3406415094339621,0.1606603773584905,2.1132075471698117,0.5449622641509434,0.3773584905660377,1.7547169811320755,2.1320754716981134,4.452830188679245,1.8679245283018868,1.1886792452830188,0.2264150943396226,2.60377358490566,7.849056603773585,-2.2830188679245285,53.0
2399,2730.0,32.66394308943089,0.5087317073170732,0.0,3.3780487804878048,0.6072073170731708,3.5,6.536585365853658,10.03658536585366,0.9146341463414634,2.0121951219512195,0.9390243902439024,1.6585365853658536,2.8292682926829267,11.96341463414634,-2.1707317073170733,82.0
2400,2731.0,35.61136986301369,0.4354246575342466,0.0,2.863013698630137,0.5136164383561643,3.767123287671233,7.123287671232877,10.89041095890411,0.8767123287671232,1.7123287671232876,0.8493150684931506,1.7123287671232876,2.9315068493150687,15.136986301369864,-4.712328767123288,73.0
2401,2735.0,29.647145833333333,0.4443,0.109375,2.375,0.5906625,2.4375,3.5875,6.025,1.8875,1.325,0.925,0.4375,2.3,10.0875,-5.5125,80.0
2402,2736.0,27.23065573770492,0.4150000000000001,0.1816721311475409,1.9672131147540983,0.6429344262295081,1.5081967213114753,3.7704918032786887,5.278688524590164,2.2131147540983607,1.9344262295081969,0.7868852459016393,0.4426229508196721,1.6065573770491803,11.655737704918034,2.6065573770491803,61.0
2403,2738.0,32.693211382113816,0.4788048780487804,0.2625853658536585,1.902439024390244,0.5658780487804879,1.0853658536585369,4.573170731707317,5.658536585365853,3.0,1.695121951219512,1.6829268292682926,0.5853658536585366,2.4878048780487805,9.03658536585366,-0.2195121951219512,82.0
2404,2746.0,27.70191441441441,0.4467162162162161,0.0360405405405405,2.202702702702702,0.5612027027027027,1.9864864864864864,4.1891891891891895,6.175675675675675,1.7162162162162162,1.8243243243243243,0.7972972972972973,1.945945945945946,2.121621621621621,9.66216216216216,-5.081081081081081,74.0
2405,2768.0,26.48491869918699,0.3209512195121951,0.2879756097560976,0.5975609756097561,0.2835365853658536,0.2804878048780488,2.317073170731707,2.597560975609756,4.853658536585366,1.451219512195122,1.0,0.0365853658536585,2.5,5.939024390243903,1.3780487804878048,82.0
2406,56.0,28.45520576131687,0.3921851851851852,0.2529629629629629,1.2345679012345678,0.3783827160493827,0.419753086419753,2.45679012345679,2.876543209876543,3.1728395061728394,1.2592592592592593,0.8765432098765432,0.1234567901234567,2.08641975308642,7.728395061728395,1.530864197530864,81.0
2407,133.0,33.40413145539907,0.3831830985915492,0.3569154929577464,2.126760563380281,0.63,0.3380281690140845,2.1690140845070425,2.507042253521127,2.8732394366197185,1.6901408450704225,0.8309859154929577,0.0845070422535211,2.9859154929577465,9.887323943661972,-1.0704225352112675,71.0
2408,136.0,31.736022222222218,0.4445200000000001,0.0,1.8533333333333333,0.612,2.4266666666666667,4.866666666666666,7.293333333333333,1.2,1.2,0.6133333333333333,0.6666666666666666,2.88,9.026666666666667,-2.1733333333333333,75.0
